충전소,충전기ID,충전기타입,주소,이용가능시간
목포시 시티프라자,3,AC완속,전라남도 목포시 남악1로52번길 35-7 ,24시간 이용가능
목포시 시티호텔,1,AC완속,전라남도 목포시 번영로 26 주차장,24시간 이용가능
목포시 신안비치팔레스아파트,1,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,2,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,3,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,4,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,5,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,6,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,7,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 신안비치팔레스아파트,8,AC완속,전라남도 목포시 청호로 210 ,24시간 이용가능
목포시 썸무인호텔,1,AC완속,전라남도 목포시 허사로 13 주차장,24시간 이용가능
목포시 엠유모텔,1,AC완속,전라남도 목포시 옥암로54번길 41 주차장,24시간 이용가능
목포시 엠유모텔,2,AC완속,전라남도 목포시 옥암로54번길 41 주차장,24시간 이용가능
목포시 옥암코아루,1,AC완속,전라남도 목포시 당가두로13번길 12 46번 주변,24시간 이용가능
목포시 옥암코아루,2,AC완속,전라남도 목포시 당가두로13번길 12 46번 주변,24시간 이용가능
목포시 옥암코아루,3,AC완속,전라남도 목포시 당가두로13번길 12 46번 주변,24시간 이용가능
목포시 우미파렌하이트아파트,1,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 우미파렌하이트아파트,2,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 우미파렌하이트아파트,3,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
