fetched_at,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,busiId
2026-09-15T08:12:19.606842+00:00,ME20A409,22,2,20260915170628,20260915154408,20260915160929,,ME
2026-09-15T08:12:19.606842+00:00,ME20A409,23,2,20260915170854,20260915155850,20260915163850,,ME
2026-09-15T08:12:19.606842+00:00,ME20A409,24,2,20260915170854,20260915161529,20260915165529,,ME
2026-09-15T08:12:19.606842+00:00,ME20A410,01,2,20260915170942,20260915155739,20260915163224,,ME
2026-09-15T08:12:19.606842+00:00,ME20A410,02,2,20260915170816,20260915090619,20260915094128,,ME
2026-09-15T08:12:19.606842+00:00,ME20A410,03,2,20260915170840,20260915155404,20260915162003,,ME
2026-09-15T08:12:19.606842+00:00,ME20A410,91,2,20260915170823,20260915124852,20260915132852,,ME
2026-09-15T08:12:19.606842+00:00,ME20A411,01,2,20260915170847,20260915150306,20260915153037,,ME
2026-09-15T08:12:19.606842+00:00,ME20A411,02,2,20260915170824,20260915152537,20260915155456,,ME
2026-09-15T08:12:19.606842+00:00,ME20A411,03,2,20260915171037,20260915134703,20260915135043,,ME
2026-09-15T08:12:19.606842+00:00,ME20A411,04,2,20260915170731,20260915113329,20260915113429,,ME
2026-09-15T08:12:19.606842+00:00,ME21A114,01,3,20260915170910,20260915070114,20260915073429,20260915170912,ME
2026-09-15T08:12:19.606842+00:00,ME21A128,01,2,20260915170233,20260914120254,20260914124257,,ME
2026-09-15T08:12:19.606842+00:00,ME21B131,01,2,20260915170228,20260914122839,20260914124844,,ME
2026-09-15T08:12:19.606842+00:00,ME21B132,01,2,20260915170658,20260915162350,20260915170659,,ME
2026-09-15T08:12:19.606842+00:00,ME21B133,01,2,20260915170236,20260915023102,20260915024211,,ME
2026-09-15T08:12:19.606842+00:00,ME21B164,01,2,20260915170237,20260915142140,20260915144937,,ME
2026-09-15T08:12:19.606842+00:00,ME21B168,01,9,20260915170310,20260915155254,20260915163300,,ME
2026-09-15T08:12:19.606842+00:00,ME21B180,01,3,20260915170924,20260915145947,20260915153953,20260915170109,ME
2026-09-15T08:12:19.606842+00:00,ME21B1C3,01,3,20260915171006,20260915154101,20260915162104,20260915163333,ME
2026-09-15T08:12:19.606842+00:00,ME21B211,01,9,20260915170310,20260915153538,20260915161544,,ME
2026-09-15T08:12:19.606842+00:00,ME21B211,02,2,20260915170221,20260914122825,20260914125833,,ME
2026-09-15T08:12:19.606842+00:00,ME21B234,02,2,20260915170400,20260915132239,20260915134449,,ME
2026-09-15T08:12:19.606842+00:00,ME21B244,01,9,20260915170310,20260915151016,20260915153109,,ME
2026-09-15T08:12:19.606842+00:00,ME21B244,02,9,20260915170310,20260915151410,20260915153221,,ME
2026-09-15T08:12:19.606842+00:00,ME21B245,02,2,20260915170220,20260915160552,20260915164555,,ME
2026-09-15T08:12:19.606842+00:00,ME21B305,03,2,20260915170230,20260915152146,20260915160150,,ME
2026-09-15T08:12:19.606842+00:00,ME21B309,01,9,20260915170310,20260914165331,20260914172107,,ME
2026-09-15T08:12:19.606842+00:00,ME21B309,02,2,20260915170223,20260915151010,20260915155016,,ME
2026-09-15T08:12:19.606842+00:00,ME21B404,01,9,20260915170310,20260915103055,20260915111100,,ME
2026-09-15T08:12:19.606842+00:00,ME21B404,02,2,20260915170232,20260915162438,20260915165801,,ME
2026-09-15T08:12:19.606842+00:00,ME21B404,04,2,20260915170227,20260915141217,20260915143715,,ME
2026-09-15T08:12:19.606842+00:00,ME21B412,01,2,20260915170231,20260912001137,20260912002127,,ME
2026-09-15T08:12:19.606842+00:00,ME21B412,02,9,20260915170310,20260913194251,20260913201401,,ME
2026-09-15T08:12:19.606842+00:00,ME21B412,03,9,20260915170310,20260914213114,20260914221117,,ME
2026-09-15T08:12:19.606842+00:00,ME21B412,04,9,20260915170310,20260912185801,20260912191324,,ME
2026-09-15T08:12:19.606842+00:00,ME21C250,21,3,20260915171100,20260915155234,20260915163151,20260915163449,ME
2026-09-15T08:12:19.606842+00:00,ME21C250,22,2,20260915171023,20260915161053,20260915165103,,ME
2026-09-15T08:12:19.606842+00:00,ME21C251,21,2,20260915171030,20260915164151,20260915170143,,ME
2026-09-15T08:12:19.606842+00:00,ME21C251,22,3,20260915171031,20260915160331,20260915163003,20260915163524,ME
2026-09-15T08:12:19.606842+00:00,ME22C1B8,01,2,20260915171027,20260915113746,20260915120716,,ME
2026-09-15T08:12:19.606842+00:00,ME22C1B9,01,2,20260915171035,20260915154944,20260915162946,,ME
2026-09-15T08:12:19.606842+00:00,ME22C1C0,01,2,20260915171018,20260914142104,20260914150106,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,01,2,20260915171047,20260915162329,20260915170331,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,02,2,20260915171105,20260915105120,20260915112137,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,03,2,20260915171047,20260915113240,20260915113727,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,04,2,20260915171024,20260914165514,20260914173515,,ME
